## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 5.964278e-02, e_c = 2.777157e+01, C^2 = 6.507842e+00, sigma0/2 = 1.494512e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/27.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 2.525050e-01 -3.674213e+00
0.000000e+00 2.605210e-01 -3.725202e+00
0.000000e+00 2.685371e-01 -3.769848e+00
0.000000e+00 2.765531e-01 -3.809466e+00
0.000000e+00 2.845691e-01 -3.845254e+00
0.000000e+00 2.925852e-01 -3.878223e+00
0.000000e+00 3.006012e-01 -3.909168e+00
0.000000e+00 3.086172e-01 -3.938689e+00
0.000000e+00 3.166333e-01 -3.967221e+00
0.000000e+00 3.246493e-01 -3.995068e+00
0.000000e+00 3.326653e-01 -4.022436e+00
0.000000e+00 3.406814e-01 -4.049465e+00
0.000000e+00 3.486974e-01 -4.076244e+00
0.000000e+00 3.567134e-01 -4.102832e+00
0.000000e+00 3.647295e-01 -4.129268e+00
0.000000e+00 3.727455e-01 -4.155576e+00
0.000000e+00 3.807615e-01 -4.181772e+00
0.000000e+00 3.887776e-01 -4.207868e+00
0.000000e+00 3.967936e-01 -4.233873e+00
0.000000e+00 4.048096e-01 -4.259793e+00
0.000000e+00 4.128257e-01 -4.285634e+00
0.000000e+00 4.208417e-01 -4.311400e+00
0.000000e+00 4.288577e-01 -4.337097e+00
0.000000e+00 4.368737e-01 -4.362728e+00
0.000000e+00 4.448898e-01 -4.388296e+00
0.000000e+00 4.529058e-01 -4.413805e+00
0.000000e+00 4.609218e-01 -4.439258e+00
0.000000e+00 4.689379e-01 -4.464659e+00
0.000000e+00 4.769539e-01 -4.490009e+00
0.000000e+00 4.849699e-01 -4.515312e+00
0.000000e+00 4.929860e-01 -4.540569e+00
0.000000e+00 5.010020e-01 -4.565784e+00
0.000000e+00 5.090180e-01 -4.590959e+00
0.000000e+00 5.170341e-01 -4.616095e+00
0.000000e+00 5.250501e-01 -4.641194e+00
0.000000e+00 5.330661e-01 -4.666259e+00
0.000000e+00 5.410822e-01 -4.691291e+00
0.000000e+00 5.490982e-01 -4.716292e+00
0.000000e+00 5.571142e-01 -4.741264e+00
0.000000e+00 5.651303e-01 -4.766207e+00
0.000000e+00 5.731463e-01 -4.791125e+00
0.000000e+00 5.811623e-01 -4.816017e+00
0.000000e+00 5.891784e-01 -4.840885e+00
